,Date,R000,R001,R002,R003,R004,R005,Totale complessivo
499,20190515,22175.4568,40930.6541,,15702.3426,24550.2894,23299.8493,126658.5922
500,20190516,21180.1681,38230.2536,,16743.3504,28899.8402,27426.091,132479.7033
501,20190517,29767.0163,56134.547,,16167.4219,40321.0248,33235.2664,175625.2764
502,20190518,54526.5728,64353.7013,,20633.1496,44449.1663,28650.6773,212613.2673
503,20190519,45649.1791,51210.2241,,16086.8043,35219.1945,19952.8973,168118.2993
504,20190520,15327.5864,34272.3507,,15853.8723,21730.6971,20421.4045,107605.911
505,20190521,17349.8822,35763.4459,,15368.5973,27106.429,21972.7151,117561.0695
506,20190522,19886.4456,35126.8064,,13893.6917,24005.1294,23265.3225,116177.3956
507,20190523,22054.8195,39871.7634,,15847.9251,27714.1585,24651.7222,130140.3887
508,20190524,27919.8325,51025.0762,,16624.2412,37575.7725,35831.3844,168976.3068
509,20190525,43821.6541,67049.5175,,18930.9288,47491.4895,28491.0115,205784.6014
510,20190526,41155.037,54824.8414,,15602.8096,37917.6126,23854.0953,173354.3959
511,20190527,22416.1945,36015.4998,,15712.6676,26206.5433,19988.0436,120338.9488
512,20190528,16888.396,30657.0313,,14428.3202,25677.2425,22137.7086,109788.6986
513,20190529,17888.269,33107.4016,,13764.877,28190.8844,23191.3129,116142.7449
514,20190530,18231.472,38372.0365,,15451.8994,25834.0173,27971.3336,125860.7588
515,20190531,23787.4371,53660.8422,,17833.0096,38524.64,28691.11,162497.0389
516,20190601,38434.3169,61389.6416,,18938.2389,43546.3483,30090.1062,192398.6519
517,20190602,32653.3494,49286.3049,,15148.3444,31835.1964,26749.4731,155672.6682
518,20190603,15775.5675,30551.262,,15741.4537,23775.9144,18376.7241,104220.9217
519,20190604,16360.7885,32127.4765,,16066.5673,24830.0556,21933.4388,111318.3267
520,20190605,16917.6364,33943.1484,,15678.8429,23779.8792,24210.5969,114530.1038
521,20190606,17805.3386,36865.8668,,14576.1329,22900.4783,24101.6888,116249.5054
522,20190607,28651.6685,52704.0864,,25515.6356,42963.5227,36754.1916,186589.1048
523,20190608,37643.0502,61227.4565,,17524.8703,42182.5397,29946.7952,188524.7119
524,20190609,38895.0184,46669.413,,15917.2678,35488.8422,24087.7294,161058.2708
525,20190610,18917.8367,34722.4381,,14618.5893,25455.7093,19249.3931,112963.9665
526,20190611,19031.04,34628.5219,,15802.3712,25019.9117,22096.3673,116578.2121
527,20190612,17982.7634,36593.6172,,16571.5424,26970.1803,23333.8805,121451.9838
528,20190613,19183.3544,36807.6751,,14781.7656,28276.5819,20950.8705,120000.2475
529,20190614,29269.3926,46586.4826,,15596.6146,36420.4463,29649.3939,157522.33
530,20190615,39005.2481,60244.5165,,18530.2362,42898.9708,31221.2719,191900.2435
531,20190616,34082.412,46966.36,,15959.4351,37462.6105,22230.5923,156701.4099
532,20190617,17615.0695,34636.7406,,17597.1866,21310.0979,20375.8093,111534.9039
533,20190618,17510.4566,34578.425,,14844.2938,25013.7993,18804.6747,110751.6494
534,20190619,18298.2541,36425.3197,,16985.7401,27056.3321,27114.9781,125880.6241
535,20190620,20386.5473,41359.1829,,17336.2119,34104.1771,22858.1458,136044.265
536,20190621,27277.4523,48625.7114,,17631.1352,39317.8891,25191.761,158043.949
537,20190622,41079.0037,60951.4486,,19064.2039,49687.1627,26752.8184,197534.6373
538,20190623,30324.2772,43309.3689,,16189.7652,32392.9116,21832.5842,144048.9071
539,20190624,18263.4382,32605.6892,,15586.7439,24502.0923,18979.2498,109937.2134
540,20190625,18811.2414,29851.5574,,13990.788,25753.2758,18579.7962,106986.6588
541,20190626,18930.3919,31908.7104,,14609.5859,29200.4629,19254.2252,113903.3763
542,20190627,19361.853,35832.0865,,17630.7222,26624.9949,18448.0079,117897.6645
543,20190628,29079.5778,49532.6594,,16942.3751,34060.5643,23877.7602,153492.9368
544,20190629,34541.6267,50234.5529,,18285.0794,40643.5365,27548.4216,171253.2171
545,20190630,37957.3019,49331.611,,18247.4964,39201.7122,28613.466,173351.5875
546,20190701,20283.2973,36091.8222,,16009.4907,27870.5616,21420.4928,121675.6646
547,20190702,20282.843,34271.7725,,12983.8527,24850.2926,21982.2967,114371.0575
548,20190703,20301.4693,38661.0952,,14861.5572,27710.1937,19090.2229,120624.5383
549,20190704,20276.7719,38528.0266,,15092.9611,30446.8969,19585.9055,123930.562
550,20190705,28498.652,45324.2307,,18451.4771,35188.0543,23728.7911,151191.2052
551,20190706,44918.8712,53954.4852,,19342.855,43543.2508,25283.1579,187042.6201
552,20190707,41060.4187,40544.0035,,16644.2717,38877.3007,20850.3463,157976.3409
553,20190708,20743.9575,33970.0347,,15641.8381,23678.4051,19882.6047,113916.8401
554,20190709,23388.8095,35918.4448,,13695.0387,26491.9263,20414.3422,119908.5615
555,20190710,28221.8181,41430.2602,,15875.5135,33242.6591,22475.3361,141245.587
556,20190711,24582.173,41078.7972,,16171.0976,27775.3238,20825.6489,130433.0405
557,20190712,31717.4088,45946.4152,,15904.2583,39038.3707,23457.5327,156063.9857
558,20190713,46550.882,54682.8107,,19349.9173,44530.486,30629.9385,195744.0345
559,20190714,46032.3605,47620.8824,,17071.3137,35407.6051,22740.3582,168872.5199
560,20190715,29288.5145,39447.5298,,16119.4313,26755.0486,20164.8489,131775.3731
561,20190716,19406.0853,35762.1656,,15789.8986,25224.3054,16930.8111,113113.266
562,20190717,20982.2172,35598.2459,,14060.1307,29551.1825,19016.1307,119207.907
563,20190718,22717.7258,38243.387,,17268.8516,32095.6342,20546.2131,130871.8117
564,20190719,25929.0073,47544.6839,,18226.8051,35326.5745,25227.8159,152254.8867
565,20190720,42456.5239,51693.3928,,20215.0284,44216.6473,24180.1175,182761.7099
566,20190721,35529.4814,45729.7141,,15456.5663,32283.9622,22239.8435,151239.5675
567,20190722,20603.2897,34938.1067,,15982.1088,25956.7196,20028.3524,117508.5772
568,20190723,19744.8692,31818.1395,,14506.9141,28823.6004,18027.9869,112921.5101
569,20190724,20042.5183,37396.0762,,14667.6537,27345.8451,16697.5487,116149.642
